,NB Score,SGD Score,Tree Score,,NB Average Score,SGD Average Score,Tree Average Score
0,0.333333333,0.444444444,0.333333333,,0.388235294,0.525383987,0.382818627
1,0.444444444,0.5,0.333333333,,,,
2,0.555555556,0.555555556,0.555555556,,,,
3,0.333333333,0.388888889,0.277777778,,,,
4,0.222222222,0.333333333,0.166666667,,,,
5,0.277777778,0.5,0.222222222,,,,
6,0.444444444,0.555555556,0.5,,,,
7,0.388888889,0.333333333,0.277777778,,,,
8,0.277777778,0.388888889,0.277777778,,,,
9,0.555555556,0.611111111,0.555555556,,,,
10,0.166666667,0.277777778,0.222222222,,,,
11,0.222222222,0.388888889,0.277777778,,,,
12,0.333333333,0.333333333,0.277777778,,,,
13,0.388888889,0.555555556,0.388888889,,,,
14,0.166666667,0.5,0.222222222,,,,
15,0.388888889,0.5,0.388888889,,,,
16,0.277777778,0.388888889,0.222222222,,,,
17,0.333333333,0.555555556,0.222222222,,,,
18,0.555555556,0.555555556,0.5,,,,
19,0.444444444,0.444444444,0.444444444,,,,
20,0.333333333,0.5,0.388888889,,,,
21,0.222222222,0.5,0.333333333,,,,
22,0.555555556,0.555555556,0.5,,,,
23,0.388888889,0.444444444,0.388888889,,,,
24,0.388888889,0.888888889,0.5,,,,
25,0.222222222,0.222222222,0.222222222,,,,
26,0.277777778,0.611111111,0.333333333,,,,
27,0.388888889,0.5,0.388888889,,,,
28,0.222222222,0.277777778,0.166666667,,,,
29,0.222222222,0.333333333,0.166666667,,,,
30,0.444444444,0.444444444,0.444444444,,,,
31,0.277777778,0.555555556,0.388888889,,,,
32,0.444444444,0.5,0.444444444,,,,
33,0.555555556,0.555555556,0.444444444,,,,
34,0.222222222,0.388888889,0.222222222,,,,
35,0.444444444,0.555555556,0.388888889,,,,
36,0.388888889,0.555555556,0.333333333,,,,
37,0.5,0.611111111,0.388888889,,,,
38,0.222222222,0.333333333,0.222222222,,,,
39,0.5,0.666666667,0.555555556,,,,
40,0.444444444,0.555555556,0.388888889,,,,
41,0.555555556,0.611111111,0.555555556,,,,
42,0.611111111,0.611111111,0.555555556,,,,
43,0.333333333,0.5,0.333333333,,,,
44,0.222222222,0.444444444,0.222222222,,,,
45,0.277777778,0.5,0.444444444,,,,
46,0.777777778,0.611111111,0.5,,,,
47,0.555555556,0.722222222,0.611111111,,,,
48,0.388888889,0.388888889,0.388888889,,,,
49,0.444444444,0.5,0.5,,,,
50,0.5,0.666666667,0.666666667,,,,
51,0.166666667,0.5,0.333333333,,,,
52,0.555555556,0.611111111,0.555555556,,,,
53,0.277777778,0.555555556,0.5,,,,
54,0.388888889,0.611111111,0.388888889,,,,
55,0.444444444,0.388888889,0.388888889,,,,
56,0.333333333,0.333333333,0.277777778,,,,
57,0.5,0.666666667,0.5,,,,
58,0.277777778,0.444444444,0.333333333,,,,
59,0.222222222,0.444444444,0.166666667,,,,
60,0.444444444,0.666666667,0.444444444,,,,
61,0.388888889,0.444444444,0.277777778,,,,
62,0.333333333,0.333333333,0.277777778,,,,
63,0.555555556,0.722222222,0.555555556,,,,
64,0.388888889,0.388888889,0.388888889,,,,
65,0.222222222,0.444444444,0.222222222,,,,
66,0.333333333,0.555555556,0.388888889,,,,
67,0.333333333,0.444444444,0.333333333,,,,
68,0.388888889,0.5,0.388888889,,,,
69,0.333333333,0.611111111,0.444444444,,,,
70,0.277777778,0.666666667,0.333333333,,,,
71,0.388888889,0.666666667,0.5,,,,
72,0.166666667,0.444444444,0.166666667,,,,
73,0.5,0.555555556,0.444444444,,,,
74,0.388888889,0.444444444,0.444444444,,,,
75,0.166666667,0.333333333,0.222222222,,,,
76,0.555555556,0.611111111,0.5,,,,
77,0.333333333,0.388888889,0.333333333,,,,
78,0.277777778,0.555555556,0.277777778,,,,
79,0.611111111,0.555555556,0.555555556,,,,
80,0.388888889,0.444444444,0.277777778,,,,
81,0.277777778,0.555555556,0.277777778,,,,
82,0.388888889,0.5,0.388888889,,,,
83,0.388888889,0.555555556,0.388888889,,,,
84,0.5,0.555555556,0.388888889,,,,
85,0.611111111,0.722222222,0.555555556,,,,
86,0.333333333,0.611111111,0.388888889,,,,
87,0.444444444,0.611111111,0.5,,,,
88,0.277777778,0.444444444,0.277777778,,,,
89,0.333333333,0.444444444,0.277777778,,,,
90,0.5,0.555555556,0.333333333,,,,
91,0.388888889,0.5,0.388888889,,,,
92,0.388888889,0.555555556,0.388888889,,,,
93,0.5,0.777777778,0.611111111,,,,
94,0.388888889,0.777777778,0.5,,,,
95,0.277777778,0.333333333,0.333333333,,,,
96,0.222222222,0.5,0.166666667,,,,
97,0.5,0.666666667,0.611111111,,,,
98,0.277777778,0.5,0.333333333,,,,
99,0.222222222,0.277777778,0.277777778,,,,
100,0.444444444,0.444444444,0.444444444,,,,
101,0.444444444,0.388888889,0.333333333,,,,
102,0.222222222,0.555555556,0.222222222,,,,
103,0.222222222,0.444444444,0.277777778,,,,
104,0.333333333,0.666666667,0.222222222,,,,
105,0.333333333,0.555555556,0.388888889,,,,
106,0.277777778,0.555555556,0.333333333,,,,
107,0.5,0.5,0.388888889,,,,
108,0.222222222,0.5,0.277777778,,,,
109,0.444444444,0.5,0.333333333,,,,
110,0.5,0.555555556,0.5,,,,
111,0.444444444,0.555555556,0.444444444,,,,
112,0.388888889,0.5,0.444444444,,,,
113,0.333333333,0.333333333,0.333333333,,,,
114,0.444444444,0.611111111,0.444444444,,,,
115,0.388888889,0.555555556,0.333333333,,,,
116,0.277777778,0.5,0.333333333,,,,
117,0.388888889,0.5,0.388888889,,,,
118,0.277777778,0.555555556,0.277777778,,,,
119,0.444444444,0.611111111,0.444444444,,,,
