,NB Score,SGD Score,Tree Score
0,0.6,0.8,0.6
1,0.4,0.4,0.4
2,0.0,0.2,0.0
3,0.2,0.4,0.2
4,0.6,0.6,0.4
5,0.6,0.6,0.4
6,0.4,0.4,0.4
7,0.8,0.8,0.8
8,0.6,0.6,0.6
9,0.4,0.2,0.2
10,0.2,0.4,0.4
11,0.4,0.4,0.4
12,0.4,0.2,0.4
13,0.4,0.6,0.2
14,0.0,0.2,0.0
15,0.4,0.6,0.2
16,0.0,0.2,0.0
17,0.4,0.4,0.4
18,0.4,0.2,0.2
19,0.2,0.6,0.4
20,0.0,0.6,0.0
21,0.8,0.8,0.6
22,0.2,0.2,0.2
23,0.6,0.6,0.6
24,0.2,0.6,0.4
25,0.2,0.4,0.4
26,0.4,0.4,0.4
27,0.6,0.2,0.0
28,0.6,0.6,0.6
29,0.4,0.4,0.2
30,0.4,0.4,0.4
31,0.0,0.4,0.2
32,0.4,0.4,0.4
33,0.0,0.4,0.4
34,0.8,0.6,0.4
35,0.8,0.8,0.8
36,0.0,0.2,0.2
37,0.0,0.2,0.0
38,0.6,0.6,0.6
39,0.0,0.0,0.0
40,0.2,0.4,0.2
41,0.2,0.4,0.2
42,0.4,0.6,0.6
43,0.2,0.2,0.2
44,0.8,0.6,0.6
45,0.2,0.4,0.2
46,0.0,0.0,0.0
47,0.2,0.4,0.2
48,0.6,0.6,0.6
49,0.6,0.8,0.6
50,0.2,0.6,0.2
51,0.4,0.4,0.2
52,0.0,0.4,0.2
53,0.0,0.6,0.2
54,0.6,0.6,0.6
55,0.4,0.4,0.4
56,0.4,0.6,0.4
57,0.2,0.6,0.2
58,0.2,0.0,0.0
59,0.4,0.4,0.2
60,0.2,0.4,0.4
61,0.0,0.6,0.0
62,0.4,0.2,0.0
63,0.2,0.6,0.2
64,0.6,0.8,0.6
65,0.6,0.8,0.6
66,0.4,0.6,0.6
67,0.6,0.6,0.6
68,0.4,0.4,0.4
69,0.6,0.4,0.6
70,0.4,0.4,0.4
71,0.4,0.4,0.2
72,0.2,0.4,0.0
73,0.2,0.6,0.4
74,0.6,0.6,0.8
75,0.0,0.4,0.2
76,0.2,0.4,0.4
77,0.6,0.6,0.8
78,0.0,0.6,0.0
79,0.4,0.4,0.4
80,0.8,0.8,0.8
81,0.6,0.2,0.4
82,0.2,0.6,0.2
83,0.2,0.2,0.2
84,0.4,0.6,0.4
85,0.4,0.4,0.4
86,0.8,1.0,0.8
87,0.6,1.0,0.8
88,0.4,0.8,0.4
89,0.4,0.8,0.6
90,0.2,0.2,0.2
91,0.2,0.2,0.2
92,0.2,0.2,0.2
93,0.2,0.4,0.2
94,0.2,0.4,0.4
95,0.6,1.0,0.6
96,0.0,0.4,0.0
97,0.6,0.6,0.6
98,0.0,0.4,0.0
99,0.4,0.4,0.4
100,0.6,0.6,0.6
101,0.4,0.2,0.2
102,0.4,0.6,0.4
103,0.0,0.0,0.0
104,0.0,0.4,0.0
105,0.4,0.4,0.4
106,0.2,0.2,0.2
107,0.2,0.4,0.0
108,0.6,0.6,0.6
109,0.4,0.4,0.4
110,0.4,0.4,0.4
111,0.4,0.4,0.4
112,0.6,0.8,0.4
113,0.2,0.6,0.4
114,0.0,0.4,0.4
115,0.6,0.6,0.6
116,0.6,0.6,0.6
117,0.4,0.2,0.2
118,0.2,0.6,0.4
119,0.6,0.4,0.4
120,0.6,0.8,0.4
121,0.4,0.4,0.4
122,0.2,0.4,0.2
123,0.4,0.4,0.2
124,0.0,0.4,0.2
125,0.4,0.4,0.4
126,0.4,0.4,0.4
127,0.4,0.6,0.4
128,0.2,0.4,0.2
129,0.8,0.8,0.6
130,0.6,0.6,0.6
131,0.4,0.4,0.4
132,0.4,0.6,0.0
133,0.6,1.0,0.4
134,0.4,0.4,0.4
135,0.4,0.6,0.4
136,0.2,0.4,0.2
137,0.4,0.4,0.4
138,0.2,0.2,0.2
139,0.2,0.6,0.2
140,0.2,0.4,0.2
141,0.6,0.6,0.6
142,0.4,0.8,0.6
143,0.6,0.6,0.6
144,0.8,1.0,0.8
145,0.2,0.2,0.2
146,0.2,0.4,0.2
147,0.8,0.6,0.4
148,0.6,0.6,0.6
149,0.6,0.6,0.6
150,0.4,0.8,0.6
151,0.8,0.8,0.8
152,0.4,0.4,0.4
153,0.6,0.6,0.4
154,0.6,0.4,0.4
155,0.4,0.6,0.4
156,0.4,0.6,0.4
157,0.2,0.4,0.2
158,0.4,0.6,0.6
159,0.0,0.6,0.0
160,0.4,0.4,0.4
161,0.0,0.2,0.0
162,0.4,0.6,0.6
163,0.2,0.2,0.2
164,0.2,0.6,0.6
165,0.6,0.6,0.4
166,0.8,0.8,0.6
167,1.0,0.8,0.8
168,0.6,0.4,0.2
169,0.4,0.4,0.4
170,0.4,0.6,0.4
171,0.8,1.0,0.8
172,0.6,0.8,0.8
173,0.6,0.4,0.6
174,0.2,0.4,0.2
175,0.4,0.4,0.4
176,0.2,0.4,0.4
177,0.4,0.2,0.2
178,0.4,0.4,0.6
179,0.6,0.8,0.6
180,0.6,0.8,0.6
181,0.4,0.4,0.6
182,0.6,0.8,0.8
183,0.2,0.6,0.4
184,0.0,0.6,0.4
185,0.2,0.4,0.2
186,0.4,0.4,0.4
187,0.4,0.6,0.6
188,0.6,0.6,0.6
189,0.4,0.6,0.4
190,0.6,0.6,0.6
191,0.0,0.4,0.4
192,0.4,1.0,0.8
193,0.4,0.4,0.4
194,0.6,0.8,0.6
195,0.4,0.6,0.6
196,0.4,0.2,0.0
197,0.2,0.8,0.4
198,0.4,0.4,0.4
199,0.6,0.6,0.6
200,0.4,0.2,0.2
201,0.2,0.4,0.2
202,0.2,0.2,0.2
203,0.2,0.0,0.0
204,0.6,0.6,0.6
205,0.6,1.0,0.6
206,0.4,0.6,0.4
207,0.8,0.8,0.8
208,0.2,0.4,0.2
209,0.4,0.6,0.4
210,0.4,0.4,0.6
211,0.2,0.2,0.2
212,0.2,0.6,0.2
213,0.2,0.4,0.2
214,0.2,0.8,0.2
215,0.2,0.0,0.0
216,0.4,0.4,0.2
217,0.4,0.8,0.6
218,0.8,0.8,0.8
219,0.2,0.6,0.2
220,0.2,0.4,0.2
221,0.4,0.2,0.2
222,0.4,0.6,0.4
223,0.6,0.6,0.2
224,0.2,0.2,0.2
225,0.4,0.4,0.4
226,0.4,0.4,0.4
227,0.4,0.8,0.4
228,0.4,0.6,0.4
229,0.6,0.6,0.6
230,0.6,0.6,0.6
231,0.6,0.4,0.6
232,0.4,0.4,0.4
233,0.2,0.4,0.2
234,0.4,0.8,0.2
235,0.0,0.0,0.0
236,0.4,0.6,0.4
237,0.4,0.6,0.6
238,0.0,0.8,0.6
239,0.0,0.2,0.0
240,0.6,0.6,0.4
241,0.4,0.4,0.4
242,0.2,0.2,0.2
243,0.6,0.8,0.6
244,0.0,0.2,0.0
245,0.4,0.6,0.4
246,0.4,0.4,0.4
247,0.2,0.4,0.2
248,0.6,0.6,0.6
249,0.4,0.8,0.6
250,0.2,0.6,0.2
251,0.4,0.6,0.6
252,0.4,0.8,0.2
253,0.0,0.4,0.2
254,0.4,0.6,0.4
255,0.2,1.0,0.6
256,0.6,0.6,0.6
257,0.6,0.8,0.6
258,0.2,0.4,0.4
259,0.2,0.6,0.2
260,0.2,0.6,0.0
261,0.0,0.6,0.2
262,0.2,0.2,0.2
263,0.2,0.4,0.2
264,0.8,0.8,0.8
265,0.4,0.4,0.2
266,0.2,0.2,0.2
267,0.6,0.6,0.6
268,0.4,0.6,0.4
269,0.4,0.4,0.4
270,0.2,0.0,0.0
271,0.4,0.8,0.4
272,0.0,0.0,0.0
273,0.2,0.6,0.4
274,0.2,0.4,0.2
275,0.6,0.8,0.6
276,0.6,0.6,0.6
277,0.4,0.4,0.4
278,0.4,0.4,0.2
279,0.4,0.6,0.4
280,0.2,0.4,0.4
281,0.2,0.2,0.2
282,0.2,0.6,0.2
283,0.4,0.6,0.4
284,0.6,0.8,0.6
285,0.6,0.2,0.4
286,0.8,0.8,0.8
