,NB Score,SGD Score,Tree Score,,NB Average Score,SGD Average Score,Tree Average Score
0,0.333333333,0.472222222,0.277777778,,0,0.525460317,0.382343651
1,0.444444444,0.472222222,0.416666667,,,,
2,0.25,0.416666667,0.194444444,,,,
3,0.388888889,0.444444444,0.388888889,,,,
4,0.388888889,0.5,0.361111111,,,,
5,0.194444444,0.333333333,0.25,,,,
6,0.361111111,0.444444444,0.333333333,,,,
7,0.277777778,0.5,0.305555556,,,,
8,0.305555556,0.472222222,0.222222222,,,,
9,0.527777778,0.5,0.472222222,,,,
10,0.277777778,0.5,0.361111111,,,,
11,0.472222222,0.5,0.444444444,,,,
12,0.305555556,0.555555556,0.361111111,,,,
13,0.361111111,0.555555556,0.388888889,,,,
14,0.222222222,0.305555556,0.166666667,,,,
15,0.361111111,0.5,0.416666667,,,,
16,0.5,0.527777778,0.444444444,,,,
17,0.333333333,0.472222222,0.305555556,,,,
18,0.444444444,0.583333333,0.361111111,,,,
19,0.361111111,0.5,0.333333333,,,,
20,0.5,0.583333333,0.472222222,,,,
21,0.472222222,0.555555556,0.444444444,,,,
22,0.25,0.472222222,0.333333333,,,,
23,0.666666667,0.666666667,0.583333333,,,,
24,0.416666667,0.444444444,0.444444444,,,,
25,0.333333333,0.583333333,0.5,,,,
26,0.416666667,0.583333333,0.527777778,,,,
27,0.416666667,0.5,0.388888889,,,,
28,0.416666667,0.5,0.416666667,,,,
29,0.277777778,0.444444444,0.25,,,,
30,0.388888889,0.555555556,0.388888889,,,,
31,0.444444444,0.527777778,0.416666667,,,,
32,0.305555556,0.416666667,0.305555556,,,,
33,0.333333333,0.5,0.361111111,,,,
34,0.361111111,0.555555556,0.361111111,,,,
35,0.333333333,0.666666667,0.416666667,,,,
36,0.333333333,0.5,0.305555556,,,,
37,0.277777778,0.388888889,0.333333333,,,,
38,0.416666667,0.5,0.416666667,,,,
39,0.444444444,0.555555556,0.416666667,,,,
40,0.333333333,0.5,0.277777778,,,,
41,0.388888889,0.527777778,0.388888889,,,,
42,0.555555556,0.638888889,0.472222222,,,,
43,0.416666667,0.611111111,0.444444444,,,,
44,0.305555556,0.444444444,0.277777778,,,,
45,0.472222222,0.527777778,0.388888889,,,,
46,0.444444444,0.666666667,0.5,,,,
47,0.361111111,0.555555556,0.416666667,,,,
48,0.361111111,0.583333333,0.388888889,,,,
49,0.25,0.388888889,0.305555556,,,,
50,0.444444444,0.416666667,0.388888889,,,,
51,0.222222222,0.5,0.194444444,,,,
52,0.333333333,0.611111111,0.305555556,,,,
53,0.388888889,0.527777778,0.361111111,,,,
54,0.361111111,0.5,0.305555556,,,,
55,0.472222222,0.555555556,0.472222222,,,,
56,0.361111111,0.416666667,0.388888889,,,,
57,0.416666667,0.583333333,0.388888889,,,,
58,0.333333333,0.5,0.361111111,,,,
59,0.361111111,0.583333333,0.361111111,,,,
60,0.361111111,0.472222222,0.333333333,,,,
61,0.361111111,0.5,0.361111111,,,,
62,0.277777778,0.472222222,0.361111111,,,,
63,0.222222222,0.416666667,0.305555556,,,,
64,0.416666667,0.611111111,0.444444444,,,,
65,0.444444444,0.416666667,0.361111111,,,,
66,0.277777778,0.388888889,0.305555556,,,,
67,0.5,0.583333333,0.388888889,,,,
68,0.444444444,0.555555556,0.472222222,,,,
69,0.416666667,0.444444444,0.361111111,,,,
70,0.305555556,0.388888889,0.305555556,,,,
71,0.277777778,0.361111111,0.277777778,,,,
72,0.333333333,0.583333333,0.361111111,,,,
73,0.388888889,0.472222222,0.361111111,,,,
74,0.416666667,0.527777778,0.388888889,,,,
75,0.333333333,0.555555556,0.388888889,,,,
76,0.305555556,0.527777778,0.333333333,,,,
77,0.305555556,0.416666667,0.277777778,,,,
78,0.583333333,0.666666667,0.583333333,,,,
79,0.416666667,0.555555556,0.388888889,,,,
80,0.444444444,0.527777778,0.416666667,,,,
81,0.305555556,0.305555556,0.305555556,,,,
82,0.472222222,0.611111111,0.416666667,,,,
83,0.472222222,0.583333333,0.472222222,,,,
84,0.472222222,0.583333333,0.5,,,,
85,0.305555556,0.5,0.25,,,,
86,0.5,0.583333333,0.416666667,,,,
87,0.416666667,0.611111111,0.444444444,,,,
88,0.472222222,0.583333333,0.5,,,,
89,0.25,0.361111111,0.222222222,,,,
90,0.444444444,0.5,0.388888889,,,,
91,0.361111111,0.527777778,0.333333333,,,,
92,0.361111111,0.361111111,0.333333333,,,,
93,0.527777778,0.638888889,0.5,,,,
94,0.388888889,0.5,0.388888889,,,,
95,0.416666667,0.555555556,0.388888889,,,,
96,0.416666667,0.472222222,0.416666667,,,,
97,0.333333333,0.388888889,0.277777778,,,,
98,0.416666667,0.5,0.305555556,,,,
99,0.305555556,0.638888889,0.277777778,,,,
100,0.416666667,0.583333333,0.361111111,,,,
101,0.472222222,0.555555556,0.361111111,,,,
102,0.361111111,0.444444444,0.361111111,,,,
