,NB Score,SGD Score,Tree Score
0,0.388888889,0.472222222,0.347222222
1,0.319444444,0.430555556,0.263888889
2,0.333333333,0.416666667,0.319444444
3,0.347222222,0.472222222,0.333333333
4,0.416666667,0.486111111,0.361111111
5,0.402777778,0.5,0.402777778
6,0.347222222,0.555555556,0.388888889
7,0.291666667,0.402777778,0.291666667
8,0.430555556,0.5,0.375
9,0.402777778,0.541666667,0.347222222
10,0.5,0.569444444,0.458333333
11,0.458333333,0.569444444,0.430555556
12,0.38028169,0.507042254,0.450704225
13,0.436619718,0.563380282,0.492957746
14,0.352112676,0.478873239,0.338028169
15,0.422535211,0.507042254,0.366197183
16,0.366197183,0.492957746,0.38028169
17,0.352112676,0.591549296,0.38028169
18,0.295774648,0.464788732,0.338028169
19,0.366197183,0.478873239,0.366197183
20,0.394366197,0.521126761,0.366197183
21,0.478873239,0.633802817,0.436619718
22,0.394366197,0.507042254,0.352112676
23,0.394366197,0.633802817,0.436619718
24,0.323943662,0.492957746,0.352112676
25,0.338028169,0.422535211,0.323943662
26,0.309859155,0.563380282,0.309859155
27,0.450704225,0.535211268,0.394366197
28,0.394366197,0.492957746,0.38028169
29,0.323943662,0.521126761,0.323943662
30,0.366197183,0.492957746,0.366197183
31,0.338028169,0.478873239,0.352112676
32,0.352112676,0.507042254,0.394366197
33,0.366197183,0.436619718,0.338028169
34,0.492957746,0.577464789,0.464788732
35,0.338028169,0.394366197,0.323943662
36,0.323943662,0.492957746,0.338028169
37,0.366197183,0.464788732,0.366197183
38,0.366197183,0.563380282,0.366197183
39,0.492957746,0.563380282,0.464788732
40,0.366197183,0.507042254,0.366197183
41,0.408450704,0.521126761,0.394366197
42,0.464788732,0.563380282,0.478873239
43,0.352112676,0.535211268,0.338028169
44,0.450704225,0.577464789,0.450704225
45,0.352112676,0.422535211,0.295774648
46,0.352112676,0.450704225,0.338028169
47,0.507042254,0.577464789,0.450704225
48,0.408450704,0.507042254,0.394366197
49,0.352112676,0.450704225,0.309859155
50,0.338028169,0.605633803,0.295774648
51,0.436619718,0.492957746,0.366197183
52,0.323943662,0.549295775,0.38028169
53,0.366197183,0.591549296,0.422535211
54,0.366197183,0.492957746,0.366197183
55,0.507042254,0.605633803,0.535211268
56,0.323943662,0.450704225,0.295774648
57,0.394366197,0.61971831,0.464788732
58,0.352112676,0.507042254,0.366197183
59,0.492957746,0.676056338,0.492957746
60,0.450704225,0.507042254,0.436619718
61,0.436619718,0.591549296,0.450704225
62,0.478873239,0.577464789,0.436619718
63,0.225352113,0.394366197,0.225352113
