Name,Twitter ID,Party
RepWaltzPress,1082416697380913152,Republican
RepFischbach,1344375287484723205,Republican
joniernst,1383059977,Republican
RepLeeZeldin,2750127259,Republican
LtGovDennyHeck,1068499286,Democrat
RepLujanGrisham,1061385474,Democrat
SenateFinance,628709039,Democrat
RepBarragan,816833925456789505,Democrat
ChrisVanHollen,18137749,Democrat
RepBurgessOwens,1344481217685692416,Republican
RepBoebert,1342989756611907584,Republican
SenJohnHoeven,382791093,Republican
RepDavidKustoff,816012124505931780,Republican
PattyMurray,293131808,Democrat
RepGarbarino,1344349650447433729,Republican
RepDwightEvans,90639372,Democrat
RepPfluger,1341120751399809026,Republican
CongMikeSimpson,76132891,Republican
TXRandy14,1058051748,Republican
RepDevinNunes,344972339,Republican
MarioDB,37094727,Republican
HawleyMO,2352629311,Republican
RepLaTurner,1345850704800468993,Republican
RepHagedorn,1083474782602125318,Republican
RepHalRogers,550401754,Republican
SenatorTester,515822213,Democrat
RepJohnRose,1081312310059253763,Republican
RonJohnsonWI,142332083,Republican
RepThompson,303861808,Democrat
RepKihuen,816282029276938240,Democrat
JohnCornyn,13218102,Republican
RepJohnJoyce,1082311988926124036,Republican
RepChipRoy,1082790600292925440,Republican
RepGallagher,815966620300480514,Republican
SenateAgDems,233696188,Democrat
DonaldNorcross,3122099613,Democrat
SenatorDurbin,247334603,Democrat
RepBradWenstrup,518644221,Republican
RogerWicker,11650762,Republican
RepFrenchHill,2953974395,Republican
RepKClark,2293131060,Democrat
SenateApprops,352534407,Democrat
SenatorShaheen,109287731,Democrat
RepAlexMooney,2964526557,Republican
RepTedDeutch,137794015,Democrat
AGBecerra,133832049,Democrat
RepGutierrez,36948268,Democrat
RepMalliotakis,1344750588026900481,Republican
RepDustyJohnson,1074782372594413569,Republican
RepMikeRogersAL,33977070,Republican
RepMarkTakai,2975350155,Democrat
RepLoisCapps,292990703,Democrat
RepKarenBass,239949176,Democrat
EleanorNorton,23600262,Democrat
ChrisMurphyCT,150078976,Democrat
RepFredUpton,124224165,Republican
RepBradAshford,2964351843,Democrat
RepAndyBarr,1089334250,Republican
RepWebster,281540744,Republican
BillPascrell,74508260,Democrat
RepLarryBucshon,234812598,Republican
RepKayGranger,161743731,Republican
RepBetoORourke,1134292500,Democrat
RepMcNerney,385429543,Democrat
SenJohnKennedy,816683274076614656,Republican
tedcruz,23022687,Republican
RepStephMurphy,796183515998068736,Democrat
InhofePress,20546536,Republican
RepDavidEPrice,155669457,Democrat
replouiegohmert,22055226,Republican
SenSusanCollins,13529632,Republican
CongressmanRaja,814179031956488192,Democrat
SenCoonsOffice,435500714,Democrat
JeffFortenberry,18805303,Republican
RepRickCrawford,233693291,Republican
cathymcmorris,17976923,Republican
BettyMcCollum04,516880804,Democrat
OrrinHatch,18170310,Republican
RepClayHiggins,843636970538618880,Republican
RepTrentKelly,3317799825,Republican
PatrickMcHenry,27676828,Republican
daveloebsack,510516465,Democrat
SenCapito,193794406,Republican
RepMaxineWaters,36686040,Democrat
AnthonyBrownMD4,1378000346,Democrat
barrassoforwyo,499268312,Republican
RepAnnieKuster,1058717720,Democrat
RepHanabusa,235373000,Democrat
RepAdrianSmith,296245061,Republican
SanfordBishop,249410485,Democrat
SenSchumer,17494010,Democrat
RepDebDingell,2970279814,Democrat
SenatorTomUdall,60828944,Democrat
SenDanSullivan,2891210047,Republican
MarshaSays,1266034103633264641,Republican
RepAGonzalez,1054381765224210432,Republican
BennieGThompson,82453460,Democrat
RepScottPerry,18773159,Republican
RepGwenMoore,22669526,Democrat
RepLisaMcClain,1344032292432437248,Republican
RepRichardNeal,442824717,Democrat
RepDavidRouzer,834069080,Republican
congbillposey,25086658,Republican
RepRonKind,112740986,Democrat
RepDianaDeGette,28599820,Democrat
RepBrendanBoyle,231108733,Democrat
RepEliotEngel,164007407,Democrat
NitaLowey,221792092,Democrat
tomudall,14140370,Democrat
SenBobCasey,171598736,Democrat
RepRWilliams,1077446982,Republican
RepMcGovern,242426145,Democrat
BenSasse,1480852568,Republican
RepMullin,1060370282,Republican
RepSchneider,1071840474,Democrat
RepBonnie,2968451607,Democrat
JohnnyIsakson,253252536,Republican
RepMikeTurner,51228911,Republican
JECDems,116505994,Democrat
RepMeijer,1334164871420796928,Republican
RepDLamborn,584012853,Republican
TomCottonAR,343041182,Republican
RepMikeGarcia,1262531473057423361,Republican
RepTimWalz,1262814457,Democrat
RepMann,1345825008887721986,Republican
RepTomRice,1058345042,Republican
RepBillJohnson,211530910,Republican
boblatta,15394954,Republican
JoeCrowleyNY,111635980,Democrat
SenSanders,29442313,Democrat
RepBarryMoore,1339006078688825344,Republican
EnergyDems,277124730,Democrat
SenatorEnzi,291756142,Republican
RepMikeJohnson,827279765287559171,Republican
RepTenney,797201048490430465,Republican
RepCohen,162069635,Democrat
MarkKirk,18943852,Republican
SenRubioPress,229966028,Republican
RepAlGreen,156333623,Democrat
SenateBanking,104324860,Democrat
Sen_JoeManchin,234374703,Democrat
rosadelauro,140519774,Democrat
SenDanCoats,212262370,Republican
RepTomSuozzi,816705409486618624,Democrat
BradSherman,30216513,Democrat
RepRonWright,1080854935535800320,Republican
DavidVitter,19028248,Republican
TomUdallPress,325231436,Democrat
RepAshleyHinson,1340783304304410625,Republican
SenatorBaldwin,1074518754,Democrat
collinpeterson,115676070,Democrat
RepSarbanes,364415553,Democrat
AlexPadilla4CA,82489457,Democrat
RepHerrell,1344416719260016641,Republican
RepRobinKelly,1339931490,Democrat
RepMaloney,258900199,Democrat
LorettaSanchez,108376246,Democrat
RepCartwright,776664410,Democrat
RepMikeQuigley,56864092,Democrat
RepLoudermilk,2914163523,Republican
SenAlexander,76649729,Republican
RepSteveIsrael,20002401,Democrat
RepYoungKim,1344677401465397249,Republican
CongressmanGT,18967498,Republican
RepBrianHiggins,33576489,Democrat
jameslankford,27044466,Republican
RepMcClintock,50152441,Republican
USRepKCastor,1880674038,Democrat
RepJaredPolis,463132556,Democrat
RepJohnYarmuth,384913290,Democrat
FlakeforSenate,259459455,Republican
RepJoshG,815310506596691968,Democrat
SenatorCantwell,117501995,Democrat
RepDannyDavis,789244177,Democrat
RepJohnDelaney,937723303,Democrat
RepRichHudson,935033864,Republican
RepBarbaraLee,248735463,Democrat
RepBobGibbs,234822928,Republican
DanSullivan_AK,1869975300,Republican
RepFredKeller,1136060761422405633,Republican
CapitoforWV,158890005,Republican
rep_stevewomack,234469322,Republican
SenatorSinema,1080844782,Democrat
SenatorFischer,1071402577,Republican
RepSires,18696134,Democrat
chelliepingree,14984637,Democrat
SenAngusKing,1068481578,Democrat
RepBlakeMoore,1337452596093587462,Republican
RepNewhouse,2930635215,Republican
RepKevinBrady,19926675,Republican
TeamMarco,3001665106,Republican
RepCawthorn,1344007696555663360,Republican
SenPatRoberts,75364211,Republican
SenatorStrange,829794295355940866,Republican
SASCDems,2863228577,Democrat
SenateDems,73238146,Democrat
RepSteveChabot,237750442,Republican
TomColeOK04,23124635,Republican
GrahamBlog,14845376,Republican
RepRickLarsen,404132211,Democrat
DWStweets,115979444,Democrat
SenJackReed,486694111,Democrat
RepPatFallon,1343258042704527362,Republican
RepTonyGonzales,1343627416120532992,Republican
HELPCmteDems,1262362578,Democrat
BudgetGOP,2992440550,Republican
RepJoeCourtney,85396297,Democrat
RepBrianMast,814103950404239360,Republican
USRepLong,1444015610,Republican
RepPaulTonko,84119348,Democrat
LisaForSenate,151247615,Republican
RepJuanVargas,1260172386,Democrat
RepTimmons,1079770852302958592,Republican
SenOssoff,1356714265894408196,Democrat
RepFitzgerald,1004891731,Republican
RepDonaldPayne,1155335864,Democrat
RepMMM,1345807954604412929,Republican
RepBrownley,1243902714,Democrat
PatToomey,26062385,Republican
CongPalazzo,299883942,Republican
RepOHalleran,808416682972770304,Democrat
RepJeffDuncan,240393970,Republican
LindseyGrahamSC,432895323,Republican
SenBobCorker,73303753,Republican
USRepRickNolan,1055685948,Democrat
RepTomReed,252819323,Republican
RepValDemings,798973032362606600,Democrat
SenAmyKlobuchar,22044727,Democrat
SenatorRounds,2955485182,Republican
RepTerriSewell,381152398,Democrat
repdonnaedwards,82649553,Democrat
SenSherrodBrown,43910797,Democrat
NRSC,5693842,Republican
RepAndyHarrisMD,960962340,Republican
SteveDaines,11651202,Republican
RepCicilline,462143773,Democrat
RepVisclosky,193872188,Democrat
RepMcCaul,26424123,Republican
RepVanTaylor,1075040139351597056,Republican
RoundsforSenate,978029858,Republican
RepLaHood,3686482216,Republican
SenatorTimScott,217543151,Republican
SenatorIsakson,78403308,Republican
RepRussFulcher,1078741899572240384,Republican
HerreraBeutler,242926427,Republican
RepHarshbarger,1345787285179162624,Republican
RepWalorski,1065995022,Republican
virginiafoxx,16256269,Republican
johnthune,26533227,Republican
DainesforMT,214767677,Republican
SenatorWarner,19863977,Democrat
RepLaMalfa,1069124515,Republican
RepHuffman,1071102246,Democrat
RepLawrence,2863006655,Democrat
RepJerryCarl,1341091420439015424,Republican
RepTrey,811986281177772032,Republican
RepRutherfordFL,828977216595849216,Republican
RepCuellar,210926192,Democrat
SenatorCardin,109071031,Democrat
RepThomasMassie,975200486,Republican
RepGarretGraves,2951574214,Republican
RepJohnLarson,50452197,Democrat
SenatorCollins,19726613,Republican
SupJaniceHahn,339852137,Democrat
SenDougJones,941080085121175552,Democrat
RepAndyBiggsAZ,816652616625168388,Republican
LloydDoggettTX,170111219,Democrat
RepGregPence,1082369392229400576,Republican
NormaJTorres,236279233,Democrat
RepSwalwell,942156122,Democrat
RepCharlieCrist,816030424778543104,Democrat
RepLowenthal,1055730738,Democrat
Elizabeth_Esty,1060984272,Democrat
maziehirono,92186819,Democrat
RepBrianFitz,816303263586914304,Republican
RepGosar,240760644,Republican
RepSamGraves,29766367,Republican
LamarAlexander,21669223,Republican
AyotteNH,58883032,Republican
RepPeteAguilar,3018670151,Democrat
SenatorCarper,249787913,Democrat
RepSeanMaloney,1072467470,Democrat
RepAdamSchiff,29501253,Democrat
RepRubenGallego,2966570782,Democrat
RepLouCorrea,815985039485837312,Democrat
RepGuthrie,1908143071,Republican
RepKenBuck,2862577383,Republican
RepArmstrongND,1080515866255593472,Republican
RepRoybalAllard,479872233,Democrat
RepAnnWagner,1051446626,Republican
RepSteel,1343740146630451200,Republican
RepBillFoster,1080509366,Democrat
RepGregSteube,1083125649609506816,Republican
RepRoKhanna,816298918468259841,Democrat
GReschenthaler,4205133682,Republican
MikeCrapo,600463589,Republican
RepDanBishop,1176522535531360257,Republican
JohnBoozman,5558312,Republican
KenCalvert,22545491,Republican
RepPeteStauber,1075830599007510535,Republican
RepDrewFerguson,806583915012046854,Republican
RepTimRyan,13491312,Democrat
JayObernolte,272482466,Republican
DrNealDunnFL2,815952318487298048,Republican
SenatorHick,1318728336923787264,Democrat
RepAlLawsonJr,818472418620608512,Democrat
RepMGriffith,234057152,Republican
cbrangel,21312077,Democrat
PeterWelch,1410590874,Democrat
RepLoisFrankel,1077121945,Democrat
RepJimMcDermott,132201224,Democrat
TeamJoni,1952510636,Republican
SenShelby,21111098,Republican
BobCorker,283130017,Republican
RepMarkGreen,1080477288955826176,Republican
RepBenCline,1072158357237174272,Republican
RepRichmond,267854863,Democrat
RepTedLieu,3044993235,Democrat
GOPLeader,19739126,Republican
SenMikeLee,88784440,Republican
RepCarlos,1343679195034103808,Republican
RepJoseSerrano,33563161,Democrat
JacksonLeeTX18,80612021,Democrat
RepBryanSteil,1075205691621720064,Republican
RepMarcyKaptur,581141508,Democrat
RepSchakowsky,85896319,Democrat
MikeKellyPA,935368364,Republican
KellyAyotte,229592356,Republican
RepChuck,235190657,Republican
RepJoeWilson,254082173,Republican
